"Wavelength","Lipi-Blue EM","Lipi-Blue EX","Hoechst 33342 EM","Hoechst 33342 EX","LysoTracker Green EM","LysoTracker Green EX","SYBR Gold EM","SYBR Gold EX","TMRE EM","TMRE EX","SPY505 EM","SPY505 AB","SPY620 EM","SPY620 AB","SiR EM","SiR AB","DRAQ7 EM","DRAQ7 EX"
530,0.0632,,0.3156,,0.4284,0.0085,0.9036,0.1054,,0.5277500152587891,0.9674224853515625,0.17550894618034363,,0.038380783051252365,,0.02096489,,0.31
531,0.0599,,0.3083,,0.4174,0.0076,0.9228,0.0949,,0.5446000099182129,0.9512054920196533,0.1493891328573227,,0.04097601771354675,,0.021217478,,0.32
532,0.0567,,0.3007,,0.4073,0.0068,0.9359,0.0837,,0.5559500157833099,0.930109053850174,0.12678760290145874,,0.04293222352862358,,0.021975245,,0.33
533,0.0534,,0.2935,,0.399,0.0064,0.9532,0.0741,,0.567300021648407,0.9090126156806946,0.10749192535877228,,0.04427548497915268,,0.022733012,,0.34
534,0.051,,0.2861,,0.3949,0.0061,0.9689,0.066,,0.5860999822616577,0.877152681350708,0.09163710474967957,,0.04628385975956917,,0.023238191,,0.35
535,0.049,,0.279,,0.3876,0.0057,0.9811,0.0584,,0.6129000186920166,0.8452927470207214,0.07952030748128891,,0.04743802174925804,,0.02374337,,0.36
536,0.0471,,0.2715,,0.3807,,0.9863,0.0523,,0.644599974155426,0.8071182370185852,0.06912162154912949,,0.04778361693024635,,0.024248548,,0.37
537,0.0452,,0.2652,,0.3737,,0.9924,0.0462,,0.6712999939918518,0.768943727016449,0.059670012444257736,,0.04932902008295059,,0.025511494,,0.38
538,0.0432,,0.2587,,0.366,,0.9974,0.0413,,0.6970000267028809,0.7357921898365021,0.05134689062833786,,0.05239374563097954,,0.026521849,,0.39
539,0.0413,,0.2528,,0.3572,,1,0.0369,,0.7197999954223633,0.7026406526565552,0.0447622686624527,,0.05509983375668526,,0.027279615,,0.4
540,0.0394,,0.2468,,0.3471,,0.9942,0.033,0.0697999969124794,0.7396000027656555,0.6733639538288116,0.039223670959472656,,0.05680173262953758,,0.028542561,,0.41
541,0.0374,,0.2414,,0.3371,,0.9928,,0.07689999788999557,0.7603999972343445,0.6440872550010681,0.034485094249248505,,0.05860796198248863,,0.029300328,,0.42
542,0.0355,,0.2357,,0.3276,,0.988,,0.0892999991774559,0.7811999917030334,0.6102181375026703,0.03073430061340332,,0.060225095599889755,,0.030310685,,0.43
543,0.0336,,0.2298,,0.3174,,0.9861,,0.10300000011920929,0.8256999850273132,0.5763490200042725,0.027020106092095375,,0.06358976662158966,,0.03132104,,0.44
544,0.0316,,0.2238,,0.3065,,0.9836,,0.11900000274181366,0.8662999868392944,0.5472158491611481,0.023479707539081573,,0.06837595999240875,,0.032331396,,0.45
545,0.0297,,0.2181,,0.2929,,0.9676,,0.13700000196695328,0.8822000026702881,0.5180826783180237,0.020457325503230095,,0.07232749462127686,,0.03384693,,0.46
546,0.0278,,0.212,,0.2794,,0.9474,,0.1550000011920929,0.9049999713897705,0.48478761315345764,0.019256632775068283,,0.07657898217439651,,0.034857288,,0.47
547,0.0258,,0.2064,,0.2685,,0.9376,,0.16350000351667404,0.9287499785423279,0.4514925479888916,0.01770179159939289,,0.0809413269162178,,0.036120232,,0.48
548,0.0239,,0.2005,,0.2553,,0.923,,0.1720000058412552,0.9524999856948853,0.4318312406539917,0.01644126884639263,,0.08559709787368774,,0.037383176,,0.49
549,,,0.1945,,0.2449,,0.9133,,0.1899999976158142,0.9663000106811523,0.4121699333190918,0.015571556985378265,,0.09095710515975952,,0.038393535,,0.5
550,,,0.1894,,0.2351,,0.9014,,0.210999995470047,0.9861000180244446,0.3912169933319092,0.01423604879528284,,0.09559983760118484,,0.03965648,,0.51
551,,,0.1848,,0.2246,,0.8854,,0.25200000405311584,0.9901000261306763,0.37026405334472656,0.013620280660688877,,0.10115546733140945,,0.041172013,,0.52
552,,,0.1802,,0.2149,,0.8717,,0.26899999380111694,0.9950500130653381,0.35304246842861176,0.013774950988590717,,0.10802827030420303,,0.042434957,,0.53
553,,,0.1756,,0.204,,0.8569,,0.29600000381469727,1,0.33582088351249695,0.013519682921469212,,0.11477718502283096,,0.043950494,,0.53
554,,,0.1713,,0.1949,,0.8377,,0.35199999809265137,0.9871000051498413,0.3224741667509079,0.013168846257030964,,0.12166956067085266,,0.04521344,,0.54
555,,,0.1668,,0.1851,,0.8257,,0.38199999928474426,0.9782000184059143,0.30912744998931885,0.013511872850358486,,0.1295987218618393,,0.046728972,,0.55
556,,,0.1623,,0.1773,,0.8137,,0.40700000524520874,0.9643999934196472,0.297359362244606,0.013537220656871796,,0.1371627151966095,,0.048244506,,0.56
557,,,0.1578,,0.1689,,0.8006,,0.45500001311302185,0.9524999856948853,0.2855912744998932,0.013595661148428917,,0.1445571780204773,,0.04950745,,0.57
558,,,0.1538,,0.1615,,0.7877,,0.5109999775886536,0.9386000037193298,0.27497129142284393,0.013163816183805466,,0.15224507451057434,,0.051022988,,0.58
559,,,0.1496,,0.1541,,0.7727,,0.5680000185966492,0.923799991607666,0.2643513083457947,0.012861359864473343,,0.1601090282201767,,0.052285932,,0.58
560,,,0.1455,,0.1476,,0.7598,,0.5889999866485596,0.8841999769210815,0.2578932195901871,0.012768439017236233,,0.16864460706710815,,0.054054055,,0.59
561,,,0.1417,,0.1409,,0.749,,0.6389999985694885,0.8217999935150146,0.25143513083457947,0.01261456310749054,,0.17748665809631348,,0.05582218,,0.6
562,,,0.1379,,0.134,,0.7323,,0.6700000166893005,0.7960000038146973,0.24612513929605484,0.012382062152028084,,0.18614614009857178,,0.057085123,,0.61
563,,,0.1341,,0.1283,,0.7226,,0.6970000267028809,0.7663000226020813,0.2408151477575302,0.011499377898871899,,0.19419267773628235,,0.058600657,,0.62
564,,,0.1306,,0.1227,,0.7113,,0.7229999899864197,0.711899995803833,0.23320895433425903,0.01123424805700779,,0.20193272829055786,,0.06011619,,0.62
565,,,0.1271,,0.1176,,0.7018,,0.7850000262260437,0.6693000197410583,0.22560276091098785,0.011532402597367764,,0.20946413278579712,,0.062136903,,0.63
566,,,0.124,,0.1134,,0.692,,0.8220000267028809,0.6327000260353088,0.22488519549369812,0.012152538634836674,,0.2175171822309494,,0.06390503,,0.64
567,,,0.1203,,0.1083,,0.6795,,0.843999981880188,0.5544999837875366,0.2241676300764084,0.013002661056816578,,0.22517898678779602,,0.06567315,,0.65
568,,,0.117,,0.1039,,0.6691,,0.8790000081062317,0.5316999852657318,0.2192881777882576,0.012507610954344273,,0.23166055977344513,,0.06794645,,0.66
569,,,0.1138,,0.0993,,0.6573,,0.9020000100135803,0.508899986743927,0.2144087255001068,0.011962592601776123,,0.23712489008903503,,0.070219755,,0.67
570,,,0.1105,,0.0951,,0.6456,,0.9369999766349792,0.43369999527931213,0.20895522087812424,0.011687999591231346,,0.24075040221214294,,0.072493054,,0.68
571,,,0.1076,,0.0915,,0.6348,,0.9549999833106995,0.4000000059604645,0.20350171625614166,0.010719609446823597,,0.24437589943408966,,0.07552412,,0.69
572,,,0.1052,,0.088,,0.6263,,0.9739999771118164,0.3614000082015991,0.19819173216819763,0.010389620438218117,,0.24691244959831238,,0.07855519,,0.7
573,,,0.1023,,0.0842,,0.6142,,0.9809999763965607,0.3208000063896179,0.1928817480802536,0.009747114032506943,,0.248777374625206,,0.08158626,,0.71
574,,,0.0997,,0.0816,,0.6071,,0.9879999756813049,0.27720001339912415,0.1882893219590187,0.010011118836700916,,0.25124219059944153,,0.084869914,,0.73
575,,,0.097,,0.0781,,0.5962,,0.9940000176429749,0.2500000074505806,0.1836968958377838,0.011377401649951935,,0.2532375156879425,,0.08891134,,0.74
576,,,0.0943,,0.0747,,0.5846,,0.996999979019165,0.22280000150203705,0.17766934633255005,0.011313536204397678,,0.2543916702270508,,0.092700176,,0.75
577,,,0.0914,,0.0721,,0.5766,,0.9934999942779541,0.1931000053882599,0.17164179682731628,0.011201686225831509,,0.2545546889305115,,0.09699419,,0.77
578,,,0.0888,,0.0696,,0.564,,0.9900000095367432,0.17970000207424164,0.16417910903692245,0.010811934247612953,,0.2546655535697937,,0.1015408,,0.78
579,,,0.0863,,0.0668,,0.5539,,0.9850000143051147,0.1662999987602234,0.15671642124652863,0.009997285902500153,,0.25505679845809937,,0.10633998,,0.8
580,,,0.0841,,0.0643,,0.5445,,0.968999981880188,0.1436000019311905,0.15226750820875168,0.00969681516289711,,0.2549785375595093,,0.11214954,,0.81
581,,,0.0814,,0.0619,,0.5369,,0.9549999833106995,0.11190000176429749,0.14781859517097473,0.00995764322578907,,0.2547503113746643,,0.11795908,,0.83
582,,,0.0792,,0.0596,,0.5267,,0.9409999847412109,0.10220000147819519,0.1425086110830307,0.010326546616852283,,0.25571537017822266,,0.12376863,,0.84
583,,,0.0773,,0.0566,,0.5177,,0.9259999990463257,0.0925000011920929,0.13719862699508667,0.008932466618716717,,0.25705212354660034,,0.13008335,,0.86
584,,,0.0753,,0.0544,,0.5058,,0.9049999713897705,0.07500000298023224,0.13217566162347794,0.008161830715835094,,0.25934740900993347,0.002027418,0.13639808,,0.87
585,,,0.074,,0.0524,,0.4959,,0.8930000066757202,0.06705000065267086,0.1271526962518692,0.009357428178191185,,0.2625686228275299,0.0018894985,0.14321798,,0.89
586,,,0.0723,,0.0508,,0.4886,,0.8769999742507935,0.05909999832510948,0.12270378693938255,0.010649786330759525,,0.26698315143585205,0.001751579,0.1497853,,0.9
587,,,0.0708,,0.0492,,0.4772,,0.8450000286102295,0.05119999870657921,0.1182548776268959,0.010702665895223618,,0.27202361822128296,0.001813643,0.1566052,,0.91
588,,,0.0691,,0.0475,,0.4677,,0.8289999961853027,0.043299999088048935,0.11251435056328773,0.009868758730590343,,0.277448832988739,0.001875707,0.16367769,,0.93
589,,,0.0674,,0.0461,,0.4577,,0.796999990940094,0.03714999929070473,0.10677382349967957,0.010328863747417927,,0.2847520112991333,0.0017239955,0.17075019,,0.94
590,,,0.066,,0.0445,,0.4487,,0.7689999938011169,0.03099999949336052,0.10146383568644524,0.010447860695421696,,0.29411572217941284,0.001572284,0.17782268,,0.95
591,,,0.0644,,0.0433,,0.4392,,0.7459999918937683,0.02809999945263068,0.09615384787321091,0.010545547120273113,,0.3049400746822357,0.001455052,0.18514776,,0.96
592,,,0.0632,,0.0412,,0.4279,,0.7269999980926514,0.025199999411900837,0.0918484516441822,0.010953366756439209,,0.3175315260887146,0.00133782,0.19222026,,0.97
593,,,0.0619,,0.0399,,0.4177,,0.6990000009536743,0.022299999371170998,0.0875430554151535,0.010271615348756313,,0.3316292464733124,0.0015446995,0.19929275,,0.98
594,,,0.0602,,0.0384,,0.4077,,0.6769999861717224,0.02049999963492155,0.08467279002070427,0.010237596929073334,,0.3467181324958801,0.001751579,0.20636524,,0.99
595,,,0.0587,,0.0372,,0.3999,,0.652999997138977,0.018699999898672104,0.08180252462625504,0.010410797782242298,,0.36488479375839233,0.0015722835,0.21318515,,0.99
596,,,0.0575,,0.0363,,0.3922,,0.628000020980835,0.016100000124424696,0.07778415456414223,0.010155861265957355,,0.38497501611709595,0.001392988,0.21949987,,1
597,,,0.056,,0.0352,,0.3836,,0.6100000143051147,0.013500000350177288,0.07376578450202942,0.009750423952937126,,0.40734750032424927,0.0015446995,0.225562,,1
598,,,0.0547,,0.0344,,0.3758,,0.5839999914169312,0.01290000012765328,0.07017795369029045,0.00925299059599638,,0.432576060295105,0.001696411,0.23162414,,1
599,,,0.0536,,0.0331,,0.3661,,0.5619999766349792,0.012299999905129274,0.06659012287855148,0.010143551044166088,,0.45884791016578674,0.0016550355000000002,0.23692852,,1
600,,,0.0523,,0.0322,,0.3571,,0.5429999828338623,0.011699999682605267,0.06300229392945766,0.011162704788148403,,0.48558926582336426,0.00161366,0.24172771,,1
601,,,0.0513,,0.0312,,0.3478,,0.5220000147819519,0.009049999760463834,0.059414464980363846,,,0.5142542123794556,0.001896395,0.24602172,,0.99
602,,,0.0501,,0.0299,,0.3404,,0.5119999945163727,0.006399999838322401,0.05840987339615822,,,0.5455013513565063,0.00217913,0.25006315,,0.99
603,,,0.0491,,0.029,,0.3313,,0.5019999742507935,0.006416666554287076,0.05740528181195259,,,0.5773810148239136,0.0023377375,0.2535994,,0.98
604,,,0.0478,,0.028,,0.3218,,0.4790000021457672,0.006433333270251751,0.05424799025058746,,,0.6116929054260254,0.002496345,0.25637788,,0.98
605,,,0.0468,,0.0274,,0.3151,,0.46000000834465027,0.006449999986216426,0.051090698689222336,,,0.6473937034606934,0.0027446005,0.25890377,,0.97
606,,,0.0457,,0.0266,,0.3085,,0.44850000739097595,0.006466666702181101,0.0483639482408762,,,0.6831988096237183,0.002992856,0.2609245,,0.96
607,,,0.0447,,0.026,,0.3041,,0.43700000643730164,0.006483333418145776,0.04563719779253006,,,0.7198907136917114,0.0030825035,0.2626926,,0.95
608,,,0.0434,,0.0248,,0.2922,,0.41600000858306885,0.006500000134110451,0.0437715258449316,,,0.7561979293823242,0.003172151,0.2644607,,0.93
609,,,0.0422,,0.0238,,0.2847,,0.39800000190734863,0.006500000134110451,0.041905853897333145,,,0.7922834157943726,0.00358591,0.26572368,,0.92
610,,,0.0414,,0.0225,,0.2768,,0.38850000500679016,0.006500000134110451,0.04118828848004341,,,0.8268365263938904,0.003999669,0.2669866,,0.91
611,,,0.0403,,0.022,,0.268,,0.3790000081062317,0.006500000134110451,0.04047072306275368,,,0.8609267473220825,0.0045858275,0.26824957,,0.9
612,,,0.0394,,0.021,,0.2596,,0.37150000035762787,0.006500000134110451,0.03903559036552906,,0.18583999574184418,0.8927541971206665,0.005171986,0.26976508,,0.88
613,,,0.0386,,0.0202,,0.2526,,0.36399999260902405,,0.03760045766830444,,0.2164764329791069,0.9202128052711487,0.0053305934999999995,0.2717858,,0.87
614,,,0.038,,0.0195,,0.2469,,0.3564999997615814,,0.035734787583351135,,0.24711287021636963,0.9453566074371338,0.005489201,0.27355394,,0.86
615,,,0.0373,,0.0188,,0.2432,,0.3490000069141388,,0.03386911749839783,,0.2890756279230118,0.9662032723426819,0.0067649575,0.2760798,,0.84
616,,,0.0365,,0.0182,,0.2362,,0.33900000154972076,,0.03329506330192089,,0.33103838562965393,0.982752799987793,0.008040714,0.27936348,,0.83
617,,,0.0353,,0.0173,,0.2334,,0.32899999618530273,,0.032721009105443954,,0.3726636618375778,0.9949725270271301,0.008778583999999999,0.2834049,,0.82
618,,,0.0344,,0.0169,,0.2273,,0.3229999939600627,,0.03157290443778038,,0.4142889380455017,1,0.009516454,0.2882041,,0.81
619,,,0.0338,,0.016,,0.221,,0.3169999917348226,,0.030424799770116806,,0.46109479665756226,0.998004674911499,0.010619811,0.29376104,,0.8
620,,,0.033,,0.0156,,0.2163,,0.3109999895095825,,0.03028128668665886,,0.5079006552696228,0.9910601377487183,0.011723168,0.30032837,,0.8
621,,,0.0325,,0.0148,,0.2121,,0.3046666582425435,,0.030137773603200912,,0.565462738275528,0.9791598916053772,0.013426475,0.30866382,,0.79
622,,,0.0318,,0.0141,,0.2065,,0.2983333269755046,,0.028415614739060402,,0.6230248212814331,0.9616191983222961,0.015129782,0.3180096,,0.79
623,,,0.031,,0.0135,,0.2031,,0.2919999957084656,,0.02669345587491989,,0.6732505559921265,0.9383860230445862,0.017957134,0.32887092,,0.78
624,,,0.0303,,0.0128,,0.1973,,0.28733332951863605,,0.025975889526307583,,0.7234762907028198,0.909173309803009,0.020784486,0.34074262,,0.78
625,,,0.0296,,0.0125,,0.1929,,0.2826666633288066,,0.025258323177695274,,0.7601580023765564,0.8749266266822815,0.022591233000000002,0.35514018,,0.78
626,,,0.0288,,0.0117,,0.1877,,0.27799999713897705,,0.0241102185100317,,0.796839714050293,0.8375826478004456,0.02439798,0.3710533,,0.78
627,,,0.0283,,0.0114,,0.1843,,0.2724999934434891,,0.022962113842368126,,0.8397291004657745,0.7961828112602234,0.029680302,0.38822934,,0.78
628,,,0.0278,,0.0107,,0.1802,,0.2669999897480011,,0.022244546562433243,,0.8826184868812561,0.7514247894287109,0.034962624,0.40666837,,0.78
629,,,0.0273,,0.0104,,0.1764,,0.2616666555404663,,0.02152697928249836,,0.9040631949901581,0.7060211896896362,0.038500262,0.4281384,,0.78
630,,,0.0265,,0.0103,,0.1715,,0.2563333213329315,,0.02109644003212452,,0.9255079030990601,0.6600829362869263,0.0420379,0.451124,,0.78
631,,,0.0257,,0.0099,,0.1688,,0.25099998712539673,,0.02066590078175068,,0.947516918182373,0.6131535172462463,0.049030425,0.4746148,,0.79
632,,,0.0255,,0.0094,,0.1643,,0.24399999529123306,,0.01994833443313837,,0.969525933265686,0.5671761631965637,0.05602295,0.5001263,,0.79
633,,,0.025,,0.009,,0.1595,,0.2370000034570694,,0.019230768084526062,,0.9830699563026428,0.5212835073471069,0.06376024,0.5274059,,0.79
634,,,0.0246,,0.0089,,0.1568,,0.2336666683355967,,0.01894374191761017,,0.9966139793395996,0.4766102731227875,0.07149753,0.5551907,,0.79
635,,,0.0243,,0.0087,,0.1517,,0.23033333321412405,,0.018656715750694275,,0.9983069896697998,0.4348517954349518,0.075773038,0.5849962,,0.8
636,,,0.0239,,0.0083,,0.1491,,0.22699999809265137,,0.017221583984792233,,1,0.3936931788921356,0.080048546,0.6150543,,0.8
637,,,0.0234,,0.0082,,0.1453,,0.210999995470047,,0.01578645221889019,,0.984762966632843,0.35522764921188354,0.096523048,0.6456176,,0.8
638,,,0.023,,0.008,,0.1419,,0.20733333130677542,,0.015355912502855062,,0.969525933265686,0.31900519132614136,0.11299755,0.6769386,,0.81
639,,,0.0227,,0.0079,,0.1401,,0.20366666714350382,,0.014925372786819935,,0.9593679308891296,0.28496068716049194,0.12689984999999998,0.70927,,0.81
640,,,0.0223,,0.0077,,0.136,,0.20000000298023224,,0.014494833536446095,,0.9492099285125732,0.25411128997802734,0.14080215,0.7413488,,0.81
641,,,0.0221,,0.0073,,0.1331,,0.1939999982714653,,0.014064294286072254,,0.9147855639457703,0.22581149637699127,0.159366125,0.7736802,,0.81
642,,,0.0219,,0.007,,0.1304,,0.18799999356269836,,0.013203214854001999,,0.8803611993789673,0.19976134598255157,0.1779301,0.805759,,0.82
643,,,,,0.0069,,0.1259,,0.18266666432221731,,0.012342135421931744,,0.8685101568698883,0.17640423774719238,0.18870162000000001,0.83708006,,0.82
644,,,,,0.0069,,0.1234,,0.17733333508173624,,0.01205510925501585,,0.8566591143608093,0.15418171882629395,0.19947314,0.86587524,,0.82
645,,,,,0.0064,,0.1216,,0.1720000058412552,,0.011768083088099957,,0.8256207406520844,0.13491307199001312,0.22312636,0.89366,,0.82
646,,,,,0.0062,,0.1205,,0.16900000472863516,,0.011337542906403542,,0.7945823669433594,0.11840920895338058,0.24677958,0.91967666,,0.81
647,,,,,0.0062,,0.1157,,0.1660000036160151,,0.010907002724707127,,0.7601580023765564,0.10167060047388077,0.2748876,0.9421571,,0.81
648,,,,,0.0061,,0.1135,,0.16300000250339508,,0.009758897591382265,,0.7257336378097534,0.08659476786851883,0.30299562,0.96160644,,0.81
649,,,,,0.006,,0.1097,,0.157000000278155,,0.008610792458057404,,0.7042889297008514,0.07457713037729263,0.33624803999999997,0.9777722,,0.81
650,,,,,0.0057,,0.1073,,0.15099999805291495,,0.008897818624973297,,0.6828442215919495,0.0661458820104599,0.36950046,0.9896439,0.29,0.8
651,,,,,,,0.1039,,0.14499999582767487,,0.00918484479188919,,0.6546275317668915,0.058855749666690826,0.398663565,0.9969689,0.31,0.8
652,,,,,,,0.1039,,0.14033332963784537,,0.008610791992396116,,0.6264108419418335,0.05174167454242706,0.42782667,1,0.33,0.79
653,,,,,,,0.0998,,0.13566666344801584,,0.008036739192903042,,0.6066591441631317,0.04462108388543129,0.46360992,0.99873704,0.36,0.78
654,,,,,,,0.0979,,0.13099999725818634,,0.007893226109445095,,0.5869074463844299,0.038093872368335724,0.49939317,0.9931801,0.39,0.77
655,,,,,,,0.0957,,0.12633333106835684,,0.007749713025987148,,0.552483081817627,0.031892694532871246,0.532880035,0.98231876,0.41,0.76
656,,,,,,,0.0917,,0.12166666487852733,,0.007462686626240611,,0.518058717250824,0.02516334317624569,0.5663669,0.967416,0.43,0.75
657,,,,,,,0.091,,0.11699999868869781,,0.007175660226494074,,0.494921013712883,0.02091185376048088,0.5986608,0.94796664,0.47,0.73
658,,,,,,,0.0857,,0.1123333324988683,,0.006601607659831643,,0.471783310174942,0.018101435154676437,0.6309547,0.9259914,0.51,0.72
659,,,,,,,0.0848,,0.1076666663090388,,0.006027555093169212,,0.46049661934375763,0.01564965583384037,0.667744735,0.89946955,0.54,0.7
660,,,,,,,0.0827,,0.10300000011920929,,0.005884041544049978,,0.44920992851257324,0.013882548548281193,0.70453477,0.8701692,0.57,0.68
661,,,,,,,0.0818,,0.09936666737000148,,0.005740527994930744,,0.42776523530483246,0.012369749136269093,0.7417661849999999,0.8363223,0.61,0.67
662,,,,,,,0.0767,,0.09573333462079366,,0.005597014911472797,,0.4063205420970917,0.011293835006654263,0.7789976,0.8004547,0.65,0.65
663,,,,,,,0.0755,,0.09210000187158585,,0.005453501828014851,,0.3888261914253235,0.009676704183220863,0.8114638999999999,0.7620611,0.67,0.63
664,,,,,,,0.0768,,0.08856666833162308,,0.005166475428268313,,0.3713318407535553,0.00839212816208601,0.8439302,0.7216469,0.7,0.61
665,,,,,,,0.0715,,0.08503333479166031,,0.004879449028521776,,0.3532731384038925,0.007146676070988178,0.869155685,0.68098,0.74,0.59
666,,,,,,,0.0693,,0.08150000125169754,,0.004879449028521776,,0.33521443605422974,0.005979472771286964,0.89438117,0.6385451,0.77,0.56
667,,,,,,,0.0683,,0.07927500084042549,,0.004879449028521776,,0.31997741758823395,0.005164387170225382,0.9192618850000001,0.59535235,0.81,0.54
668,,,,,,,0.066,,0.07705000042915344,,0.004592422628775239,,0.30474039912223816,0.004421027842909098,0.9441426,0.55316997,0.84,0.52
669,,,,,,,0.0653,,0.0748250000178814,,0.004305396229028702,,0.29627539217472076,0.004075430799275637,0.9563277750000001,0.51048243,0.87,0.5
670,,,,,,,0.0642,,0.07259999960660934,,0.004161883145570755,,0.28781038522720337,0.0035537760704755783,0.96851295,0.46880525,0.88,0.47
671,,,,,,,0.062,,0.06994999945163727,,0.004018370062112808,,0.2776523679494858,0.0028038970194756985,0.983353105,0.4288962,0.92,0.45
672,,,,,,,0.0609,,0.06729999929666519,,0.003731343545950949,,0.2674943506717682,0.0031038490124046803,0.99819326,0.39100784,0.93,0.43
673,,,,,,,0.0596,,0.06553333252668381,,0.00344431702978909,,0.2635440081357956,0.003938497044146061,0.9990966299999999,0.3548876,0.97,0.41
674,,,,,,,0.0592,,0.06376666575670242,,0.003587829996831715,,0.259593665599823,0.0026604419108480215,1,0.32129326,0.96,0.39
675,,,,,,,0.0573,,0.06199999898672104,,0.00373134296387434,,0.2511286586523056,0.0008346479735337198,0.9986897699999999,0.2897196,0.99,0.37
676,,,,,,,0.0566,,0.060799999783436455,,0.003444316447712481,,0.2426636517047882,0.000519047025591135,0.99737954,0.2601667,1,0.35
677,,,,,,,0.0553,,0.05960000058015188,,0.003157289931550622,,0.2364559769630432,-0.0007172760087996721,0.98546329,0.23288709,0.99,0.34
678,,,,,,,0.053,,0.058400001376867294,,0.003013776964507997,,0.23024830222129822,-0.0026082759723067284,0.97354704,0.20889114,0.99,0.32
679,,,,,,,0.0527,,0.05663333460688591,,0.002870263997465372,,0.22234762459993362,-0.0035211730282753706,0.95701737,0.18615812,0.99,0.3
680,,,,,,,0.0521,,0.054866667836904526,,0.002870263997465372,,0.21444694697856903,-0.005542587023228407,0.9404877,0.165951,0.99,0.29
681,,,,,,,0.0517,,0.05310000106692314,,0.002870263997465372,,0.21275394409894943,-0.006781517993658781,0.9284956,0.14826976,0.98,0.27
682,,,,,,,0.049,,0.05240000113844871,,0.003013776964507997,,0.21106094121932983,-0.005738207139074802,0.9165035,0.13159889,0.99,0.26
683,,,,,,,0.0481,,0.05170000120997429,,0.003157289931550622,,0.20993227511644363,-0.003977620974183083,0.88978845,0.116696134,0.96,0.25
684,,,,,,,0.0477,,0.05100000128149986,,0.002583237481303513,,0.20880360901355743,-0.0028038970194756985,0.8630734,0.104066685,0.97,0.23
685,,,,,,,0.0466,,0.05030000135302544,,0.002009185031056404,,0.20541760325431824,-0.0020866210106760263,0.8319725499999999,0.09244759,0.95,0.22
686,,,,,,,0.0456,,0.04960000142455101,,0.002439724514260888,,0.20203159749507904,-0.001108517055399716,0.8008717,0.082091436,0.93,0.21
687,,,,,,,0.0431,,0.047233334432045616,,0.002870263997465372,,0.19808126240968704,-0.000033399999665562063,0.78268695,0.07299823,0.91,0.2
688,,,,,,,0.043,,0.04486666743954023,,0.002439724514260888,,0.19413092732429504,0.0006416360265575349,0.7645022,0.06466279,0.9,0.19
689,,,,,,,0.0426,,0.042500000447034836,,0.002009185031056404,,0.18961625546216965,0.0009063759935088456,0.737601,0.057085123,0.9,0.18
690,,,,,,,0.0418,,0.04142000004649162,,0.002152697998099029,,0.18510158360004425,0.0003697230131365359,0.7106998,0.05051781,0.87,0.17
691,,,,,,,0.0412,,0.04033999964594841,,0.002296210965141654,,0.18227991461753845,0.0010498310439288616,0.6763509249999999,0.04470826,0.86,0.16
692,,,,,,,0.0392,,0.0392599992454052,,0.002009184507187456,,0.17945824563503265,0.001975768944248557,0.64200205,0.0391513,0.84,0.15
693,,,,,,,0.0378,,0.038179998844861986,,0.0017221580492332578,,0.17494356632232666,0.0017931900219991803,0.61936945,0.034857288,0.82,0.14
694,,,,,,,0.037,,0.03709999844431877,,0.002009184507187456,,0.17042888700962067,0.0015584450447931886,0.59673685,0.031068452,0.8,0.14
695,,,,,,,0.0363,,0.03664999920874834,,0.002296210965141654,,0.16986455768346786,0.0008476899820379913,0.5703252249999999,0.027784795,0.77,0.13
696,,,,,,,0.0343,,0.03619999997317791,,0.002152697998099029,,0.16930022835731506,0.0006305510178208351,0.5439136,0.025006315,0.76,0.12
697,,,,,,,0.0338,,0.03575000073760748,,0.002009185031056404,,0.16422121971845627,0.0006977139855735004,0.5142264,0.022480424,0.75,0.12
698,,,,,,,0.0334,,0.03530000150203705,,0.002009185031056404,,0.15914221107959747,0.0006455479888245463,0.4845392,0.020207124,0.73,0.11
699,,,,,,,0.0327,,0.03530000150203705,,0.002009185031056404,,0.15857787430286407,0.0007172760087996721,0.46523046,0.01818641,0.71,0.11
700,,,,,,,0.0315,,,,0.001865671540144831,,0.15801353752613068,0.0006083800108171999,0.44592172,0.016670875,0.69,0.1
701,,,,,,,,,,,,,0.15462753921747208,-0.0003821119898930192,0.42594406,0.014902753,0.68,0.1
702,,,,,,,,,,,,,0.15124154090881348,-0.00029930000891909003,0.4059664,0.013639808,0.66,0.09
703,,,,,,,,,,,,,0.14785553514957428,0.0012063280446454883,0.38980911500000004,0.012376863,0.65,0.09
704,,,,,,,,,,,,,0.14446952939033508,0.001401948044076562,0.37365183,0.011366507,0.64,0.08
705,,,,,,,,,,,,,0.1422121897339821,0.0012519729789346457,0.357115265,0.010861329,0.62,0.08
706,,,,,,,,,,,,,0.1399548500776291,0.0016758169513195753,0.3405787,0.009850972,0.61,0.08
707,,,,,,,,,,,,,0.13890518993139267,0.0010759140131995082,0.33122086500000003,0.009345794,0.6,0.07
708,,,,,,,,,,,,,0.13785552978515625,0.0006403320003300905,0.32186303,0.009093205,0.58,0.07
709,,,,,,,,,,,,,0.13326185196638107,0.00006779999966965988,0.312153475,0.008335438,0.56,0.07
710,,,,,,,,,,,,,0.1286681741476059,-0.00042384499101899564,0.30244392,0.00783026,0.55,0.06
711,,,,,,,,,,,,,0.1292325034737587,-0.00008610000077169389,0.2939136,0.007325082,0.55,0.06
